Name,Angklung/Kulintang Ensemble,Art and Crafts,Artistic Gymnastics,Artistic Swimming,Audio Visual Aid,Badminton,Ballet,Basketball,Bowling,Boys' Brigade,Brass Band,Ceramics,Cheerleading,Chinese Calligraphy and Brush Painting,Chinese Chess,Chinese Culture and Language,Chinese Dance,Chinese Drums,Chinese Orchestra,Chinese Weiqi,Choir,Comics and Illustration,Community Service,Concert Band,Cricket,Cultural Dance,Dance - International,Debating and Public Speaking,Design and Innovation,Digital Media,Dikir Barat,English Culture and Language,English Drama,"English Language, Drama and Debating",Ensemble -Mixed Instrument,Entrepreneurship,Environmental Science,Fencing,Floorball,Food and Consumer Education,Football,Gamelan Ensemble,Girl Guides,Girls' Brigade,Golf,Green Club,Guitar Ensemble,Guzheng Ensemble,Handbell Ensemble,Harmonica Ensemble,Health and Fitness,Hockey,Home Economics,Indian Dance,Infocomm Technology,Innovators' Club,International Chess,Journalism,Lion and Dragon Dance,Malay Dance,Mathematics,Media Resource Library,Mind Sports Club,Modern Dance,Modular CCA,Netball,Outdoor Activities Club,Outdoor Adventure,Percussion Ensemble,Photo and Video Society,Photography,Physical Science,Pop and Jazz,Publication,Red Cross Youth,Rhythmic Gymnastics,Robotics,Rockwall Climbing,Rope Skipping,Rugby,Sailing,Scouts,Sepaktakraw,Silat,Softball,Speech and Drama,Strategy Games,String Ensemble,Student Leadership,Swimming,Table Tennis,Taekwondo,Tap Dance,Tchoukball,Tennis,Track and Field,Ukulele Ensemble,Volleyball,Western Orchestra,Wushu
Admiralty Primary School,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0
Ahmad Ibrahim Primary School,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Ai Tong School,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0
Alexandra Primary School,,1.0,,,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,
Anchor Green Primary School,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
Anderson Primary School,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,
Ang Mo Kio Primary School,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,
Anglo-Chinese School (Junior),,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,
Anglo-Chinese School (Primary),,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,1.0,1.0,,,,
Angsana Primary School,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0
Beacon Primary School,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0
Bedok Green Primary School,1.0,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
Bendemeer Primary School,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0
Blangah Rise Primary School,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Boon Lay Garden Primary School,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,1.0
Bukit Panjang Primary School,,1.0,,,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0
Bukit Timah Primary School,,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,1.0
Bukit View Primary School,1.0,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0
CHIJ (Katong) Primary,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,
CHIJ (Kellock),,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
CHIJ Our Lady Queen of Peace,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
CHIJ Our Lady of Good Counsel,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
CHIJ Our Lady of the Nativity,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
CHIJ Primary (Toa Payoh),,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,
CHIJ St. Nicholas Girls' School (Primary Section),,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,
Canberra Primary School,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,
Canossa Catholic Primary School,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,
Cantonment Primary School,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0
Casuarina Primary School,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0
Catholic High School (Primary Section),,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,1.0
Cedar Primary School,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,
Changkat Primary School,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0
Chongfu School,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,1.0
Chongzheng Primary School,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0
Chua Chu Kang Primary School,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
Clementi Primary School,,1.0,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
Compassvale Primary School,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
Concord Primary School,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,
Corporation Primary School,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Damai Primary School,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
Dazhong Primary School,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,1.0
De La Salle School,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0
East Spring Primary School,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0
Edgefield Primary School,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Elias Park Primary School,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,
Endeavour Primary School,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,1.0
Evergreen Primary School,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Fairfield Methodist School (Primary),,1.0,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Farrer Park Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fengshan Primary School,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0
Fern Green Primary School,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,
Fernvale Primary School,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
First Toa Payoh Primary School,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
